kabupaten,tahun,prediksi_indeks_pembangunan_manusia
Simeulue,2022,65.62832567708132
Aceh Singkil,2022,63.93391791472217
Aceh Selatan,2022,70.0960389203106
Aceh Tenggara,2022,68.99143952586027
Aceh Timur,2022,69.05396900293083
Aceh Tengah,2022,67.47022898737417
Aceh Barat,2022,69.68926106997762
Aceh Besar,2022,71.41970809736696
Pidie,2022,71.1549662133545
Bireuen,2022,71.60956373484593
Aceh Utara,2022,69.68495212620272
Aceh Barat Daya,2022,67.76938029334481
Gayo Lues,2022,63.751540612807844
Aceh Tamiang,2022,70.37219066333483
Nagan Raya,2022,66.98295098740947
Aceh Jaya,2022,65.65580669405355
Bener Meriah,2022,67.52036554586887
Pidie Jaya,2022,68.58754275074705
Kota Banda Aceh,2022,76.61688735962389
Kota Sabang,2022,67.24370316054981
Kota Langsa,2022,71.62389143252153
Kota Lhokseumawe,2022,70.80526873883886
Kota Subulussalam,2022,64.14579992075636
Nias,2022,65.59975024540621
Mandailing Natal,2022,71.76405989809479
Tapanuli Selatan,2022,74.01279140554577
Tapanuli Tengah,2022,71.66195020163273
Tapanuli Utara,2022,74.38780587283343
Toba Samosir / Toba,2022,74.26939662722397
Labuhan Batu,2022,73.6159558903818
Asahan,2022,75.19856265240242
Simalungun,2022,75.14725208539309
Dairi,2022,74.74571877805967
Karo,2022,73.883233027575
Deli Serdang,2022,80.1052953065805
Langkat,2022,73.11178064029697
Nias Selatan,2022,65.04706380865578
Humbang Hasundutan,2022,73.40032170752447
Pakpak Bharat,2022,70.93951735137748
Samosir,2022,72.12686193915712
Serdang Bedagai,2022,74.67556744226543
Batu Bara,2022,72.86873121014892
Padang Lawas Utara,2022,71.81874208449318
Padang Lawas,2022,70.92014893009171
Labuhan Batu Selatan,2022,73.39225607381097
Labuhan Batu Utara,2022,72.04726353726352
Nias Utara,2022,63.69903122377832
Nias Barat,2022,63.95002207661442
Kota Sibolga,2022,70.84637289927417
Kota Tanjung Balai,2022,70.18880648375489
Kota Pematang Siantar,2022,76.108262532481
Kota Tebing Tinggi,2022,72.97399938167524
Kota Medan,2022,79.28359676632856
Kota Binjai,2022,76.50410217964709
Kota Padangsidimpuan,2022,74.13095606357193
Kota Gunungsitoli,2022,68.67606215029758
Kepulauan Mentawai,2022,62.643546902253085
Pesisir Selatan,2022,73.72667901048112
Solok,2022,72.80146500652607
Sijunjung,2022,70.89741289261462
Tanah Datar,2022,77.60086007110772
Padang Pariaman,2022,77.3392070370777
Agam,2022,77.57135474817072
Lima Puluh Kota,2022,72.75961831378085
Pasaman,2022,72.904842917268
Solok Selatan,2022,71.63346573915165
Dharmasraya,2022,72.6046069918624
Pasaman Barat,2022,73.03296787509291
Kota Padang,2022,80.63371807397198
Kota Solok,2022,77.53362726988318
Kota Sawah Lunto,2022,77.32077948862215
Kota Padang Panjang,2022,74.52008605607098
Kota Bukittinggi,2022,78.55606128892367
Kota Payakumbuh,2022,76.41227229191362
Kota Pariaman,2022,77.73028391357015
Kuantan Singingi,2022,73.1213048108879
Indragiri Hulu,2022,73.29778698160855
Indragiri Hilir,2022,73.4321555175659
Pelalawan,2022,73.00511062131059
Siak,2022,78.68243849299434
Kampar,2022,75.59415824288176
Rokan Hulu,2022,72.46311326633088
Bengkalis,2022,78.36957495023839
Rokan Hilir,2022,74.19019869297601
Kepulauan Meranti,2022,68.62399337330001
Kota Pekanbaru,2022,82.46845246138012
Kota Dumai,2022,79.10125606365202
Kerinci,2022,69.33227259214677
Merangin,2022,68.81329107205862
Sarolangun,2022,70.21280986872688
Batang Hari,2022,70.07636556846931
Muaro Jambi,2022,75.1286129928806
Tanjung Jabung Timur,2022,67.8663519790571
Tanjung Jabung Barat,2022,70.30396026709424
Tebo,2022,70.04813492321591
Bungo,2022,70.00590790972339
Kota Jambi,2022,77.26311415435643
Kota Sungai Penuh,2022,75.3203522800147
Ogan Komering Ulu,2022,70.26769078473251
Ogan Komering Ilir,2022,68.07333678010711
Muara Enim,2022,70.77433191869983
Lahat,2022,70.65770091617507
Musi Rawas,2022,68.30476979898032
Musi Banyuasin,2022,68.42834959926061
Banyu Asin,2022,71.50560332870893
Ogan Komering Ulu Selatan,2022,68.87472887685907
Ogan Komering Ulu Timur,2022,68.85010966543354
Ogan Ilir,2022,69.16931270050394
Empat Lawang,2022,68.18781437294192
Penukal Abab Lematang Ilir,2022,64.72239660121747
Musi Rawas Utara,2022,65.043338840144
Kota Palembang,2022,77.2024118229306
Kota Prabumulih,2022,71.23098599167209
Kota Pagar Alam,2022,71.3530429152848
Kota Lubuklinggau,2022,68.69934024963314
Bengkulu Selatan,2022,66.86285579007463
Rejang Lebong,2022,66.92501936978347
Bengkulu Utara,2022,68.63381710077068
Kaur,2022,63.843848692529896
Seluma,2022,63.742533840591804
Mukomuko,2022,65.7794596814967
Lebong,2022,66.33760752247497
Kepahiang,2022,65.69097915074303
Bengkulu Tengah,2022,65.58956498542648
Kota Bengkulu,2022,71.79709121484521
Lampung Barat,2022,67.40725151068244
Tanggamus,2022,71.99402280124853
Lampung Selatan,2022,71.26375502273332
Lampung Timur,2022,72.78872127805901
Lampung Tengah,2022,73.45574171571599
Lampung Utara,2022,69.03602272045431
Way Kanan,2022,68.062270265151
Tulangbawang,2022,70.09735000835191
Pesawaran,2022,70.48389116791289
Pringsewu,2022,72.28644838323834
Mesuji,2022,69.45612464162647
Tulang Bawang Barat,2022,70.05583423179243
Pesisir Barat,2022,68.43452668972677
Kota Bandar Lampung,2022,77.05362733904175
Kota Metro,2022,74.48646452386772
Bangka,2022,72.67155084660837
Belitung,2022,70.13900551074899
Bangka Barat,2022,72.93698947698238
Bangka Tengah,2022,70.50657782176295
Bangka Selatan,2022,69.70628230487023
Belitung Timur,2022,69.14485264020685
Kota Pangkal Pinang,2022,76.66902794195494
Karimun,2022,73.29217670506715
Bintan,2022,74.25172486080753
Natuna,2022,70.78452072557327
Lingga,2022,66.85455182818713
Kepulauan Anambas,2022,68.4740049425949
Kota Batam,2022,79.29618583465782
Kota Tanjung Pinang,2022,73.91598273257007
Kep. Seribu,2022,64.19104842136251
Kota Jakarta Selatan,2022,81.34328959199142
Kota Jakarta Timur,2022,80.33601821531954
Kota Jakarta Pusat,2022,80.08732238268041
Kota Jakarta Barat,2022,78.78149431051665
Kota Jakarta Utara,2022,76.49600911973806
Bogor,2022,72.08275960782241
Sukabumi,2022,70.441134963784
Cianjur,2022,67.39048488893283
Bandung,2022,72.73123465166272
Garut,2022,69.0603261365226
Tasikmalaya,2022,68.97906071103363
Ciamis,2022,71.95002853836374
Kuningan,2022,71.33165535011233
Cirebon,2022,71.14425300824463
Majalengka,2022,69.01241989894751
Sumedang,2022,69.39977765474087
Indramayu,2022,69.21299195702767
Subang,2022,69.5644603664133
Purwakarta,2022,69.91624361248428
Karawang,2022,72.9555929479726
Bekasi,2022,76.71476067271684
Bandung Barat,2022,66.83034480103824
Pangandaran,2022,70.03797432208697
Kota Bogor,2022,73.25031044372082
Kota Sukabumi,2022,71.80783180533052
