kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Simeulue,2020,109.99,66.03,2274.36,18.49,11.44,0.291
Aceh Singkil,2020,99.72,68.94,2422.61,20.2,7.19,0.283
Aceh Selatan,2020,98.07,67.12,5530.75,12.87,8.57,0.287
Aceh Tenggara,2020,100.77,69.37,5058.53,13.21,9.42,0.264
Aceh Timur,2020,95.43,67.63,10605.78,14.08,7.03,0.268
Aceh Tengah,2020,104.99,73.24,7387.37,15.08,6.47,0.259
Aceh Barat,2020,89.63,71.38,8109.23,18.34,6.4,0.204
Aceh Besar,2020,95.17,73.56,13329.47,13.84,9.63,0.149
Pidie,2020,92.96,70.63,10758.81,19.23,7.8,0.163
Bireuen,2020,96.68,72.28,13084.37,13.06,10.04,0.199
Aceh Utara,2020,98.8,69.33,19702.65,17.02,11.25,0.258
Aceh Barat Daya,2020,90.96,66.75,3917.42,15.93,8.63,0.255
Gayo Lues,2020,100.59,67.22,2693.27,19.32,6.97,0.307
Aceh Tamiang,2020,91.89,69.24,7512.69,13.08,12.29,0.165
Nagan Raya,2020,87.14,69.18,7656.57,17.7,7.64,0.309
Aceh Jaya,2020,92.88,69.75,2625.73,12.87,8.97,0.28
Bener Meriah,2020,91.68,72.98,4527.82,18.89,6.98,0.234
Pidie Jaya,2020,92.08,73.2,3500.37,19.19,5.1,0.151
Kota Banda Aceh,2020,100.26,85.41,18501.63,6.9,5.0,0.065
Kota Sabang,2020,111.13,75.78,1531.41,14.94,5.15,0.087
Kota Langsa,2020,93.37,77.17,5274.02,10.44,7.35,0.145
Kota Lhokseumawe,2020,101.61,77.31,8867.27,10.8,7.08,0.16
Kota Subulussalam,2020,85.82,64.93,1803.68,17.6,7.7,0.341
Nias,2020,106.76,61.93,4040.92,16.6,7.79,0.278
Mandailing Natal,2020,100.05,66.79,13843.0,9.18,7.21,0.239
Tapanuli Selatan,2020,102.53,70.12,14642.16,8.47,7.28,0.155
Tapanuli Tengah,2020,99.56,69.23,10138.83,12.38,7.8,0.185
Tapanuli Utara,2020,101.84,73.47,8274.43,9.37,6.79,0.124
Toba Samosir / Toba,2020,102.63,75.16,7845.42,8.71,4.74,0.093
Labuhan Batu,2020,104.83,72.01,34653.18,8.44,6.49,0.2
Asahan,2020,92.13,70.29,38691.82,9.04,6.77,0.185
Simalungun,2020,97.93,73.25,39441.35,8.46,8.06,0.142
Dairi,2020,101.99,71.57,9317.91,8.04,6.42,0.092
Karo,2020,101.54,74.43,20974.57,8.7,4.56,0.178
Deli Serdang,2020,96.45,75.44,110145.24,3.88,6.73,0.101
Langkat,2020,97.66,71.0,43208.0,9.73,9.61,0.221
Nias Selatan,2020,114.81,61.89,7164.27,16.74,8.55,0.327
Humbang Hasundutan,2020,103.44,68.87,6123.46,9.36,6.69,0.078
Pakpak Bharat,2020,101.95,67.59,1211.35,9.28,5.3,0.092
Samosir,2020,100.35,70.63,4542.85,12.48,5.85,0.068
Serdang Bedagai,2020,92.22,70.24,28602.46,7.97,8.19,0.184
Batu Bara,2020,95.5,68.36,34987.64,11.88,7.51,0.179
Padang Lawas Utara,2020,96.91,69.85,12189.68,9.7,6.01,0.267
Padang Lawas,2020,97.36,68.25,11997.1,8.37,5.38,0.313
Labuhan Batu Selatan,2020,102.65,71.4,28198.97,8.34,4.8,0.183
Labuhan Batu Utara,2020,103.91,71.61,25191.24,9.53,6.3,0.2
Nias Utara,2020,106.38,62.36,3710.04,25.07,7.85,0.241
Nias Barat,2020,108.66,61.51,1922.54,25.69,9.07,0.293
Kota Sibolga,2020,105.07,73.63,5605.47,11.95,4.47,0.114
Kota Tanjung Balai,2020,96.33,68.65,9180.54,13.33,5.82,0.166
Kota Pematang Siantar,2020,86.51,78.75,13920.09,8.27,6.25,0.106
Kota Tebing Tinggi,2020,96.25,75.17,6049.16,9.85,7.42,0.149
Kota Medan,2020,96.87,80.98,242198.84,8.01,4.31,0.079
Kota Binjai,2020,89.67,75.89,11769.07,5.71,8.08,0.109
Kota Padangsidimpuan,2020,97.03,75.22,6478.66,7.4,5.08,0.139
Kota Gunungsitoli,2020,101.98,69.31,5776.11,16.41,6.73,0.141
Kepulauan Mentawai,2020,117.09,61.09,4647.1,14.35,7.08,0.377
Pesisir Selatan,2020,93.0,69.9,14095.98,7.61,5.2,0.234
Solok,2020,97.19,69.08,13581.97,7.81,6.71,0.209
Sijunjung,2020,90.78,67.74,9136.56,6.78,5.68,0.265
Tanah Datar,2020,91.75,72.33,13023.11,4.4,7.02,0.146
Padang Pariaman,2020,89.97,70.61,17934.81,6.95,5.55,0.09
Agam,2020,87.65,72.46,20376.57,6.75,6.5,0.081
Lima Puluh Kota,2020,93.08,69.47,15541.5,6.86,6.12,0.202
Pasaman,2020,89.01,66.64,8969.72,7.16,8.04,0.214
Solok Selatan,2020,94.18,69.04,5530.55,7.15,6.3,0.268
Dharmasraya,2020,93.84,71.51,10243.27,6.23,5.67,0.342
Pasaman Barat,2020,89.91,68.49,15253.0,7.04,5.9,0.208
Kota Padang,2020,86.82,82.82,62181.01,4.4,4.64,0.089
Kota Solok,2020,92.1,78.29,4041.64,2.77,5.02,0.103
Kota Sawah Lunto,2020,91.36,72.64,3656.59,2.16,6.41,0.153
Kota Padang Panjang,2020,94.53,77.93,3473.23,5.24,6.05,0.049
Kota Bukittinggi,2020,94.65,80.58,8627.53,4.54,4.27,0.052
Kota Payakumbuh,2020,91.4,78.9,6827.09,5.65,5.37,0.157
Kota Pariaman,2020,91.32,76.9,4994.09,4.1,3.75,0.043
Kuantan Singingi,2020,93.13,70.31,33683.57,8.91,10.87,0.287
Indragiri Hulu,2020,96.38,69.83,42449.7,5.96,9.11,0.32
Indragiri Hilir,2020,92.74,66.54,65043.51,5.93,13.91,0.378
Pelalawan,2020,95.32,71.56,50681.06,9.16,7.14,0.269
Siak,2020,94.33,73.68,77007.22,5.09,7.02,0.156
Kampar,2020,89.43,72.83,73001.8,7.38,9.34,0.237
Rokan Hulu,2020,92.55,69.38,36087.0,10.31,9.64,0.298
Bengkalis,2020,99.17,73.46,114583.99,6.4,9.45,0.15
Rokan Hilir,2020,100.06,69.15,67892.36,6.72,8.24,0.293
Kepulauan Meranti,2020,105.8,65.5,18066.19,25.28,10.41,0.177
Kota Pekanbaru,2020,90.67,81.32,115486.9,2.62,7.51,0.069
Kota Dumai,2020,100.35,74.4,36313.73,3.16,8.35,0.175
Kerinci,2020,90.16,71.21,10460.27,7.3,10.33,0.398
Merangin,2020,89.23,69.19,15664.88,8.63,10.06,0.456
Sarolangun,2020,89.37,69.86,14429.42,8.42,10.26,0.394
Batang Hari,2020,87.12,69.84,16392.8,9.65,9.06,0.293
Muaro Jambi,2020,88.34,69.18,24382.39,3.83,8.17,0.295
Tanjung Jabung Timur,2020,100.7,64.43,19563.27,10.95,9.89,0.358
Tanjung Jabung Barat,2020,103.19,67.54,37133.85,10.29,10.74,0.321
Tebo,2020,83.58,69.14,14737.98,6.26,9.93,0.378
Bungo,2020,86.95,69.92,17305.75,5.8,8.75,0.43
Kota Jambi,2020,87.08,78.37,29465.15,8.27,6.71,0.134
Kota Sungai Penuh,2020,89.96,75.42,7562.25,3.03,7.95,0.218
