kabupaten,tahun,IPM
Simeulue,2020,66.03
Aceh Singkil,2020,68.94
Aceh Selatan,2020,67.12
Aceh Tenggara,2020,69.37
Aceh Timur,2020,67.63
Aceh Tengah,2020,73.24
Aceh Barat,2020,71.38
Aceh Besar,2020,73.56
Pidie,2020,70.63
Bireuen,2020,72.28
Aceh Utara,2020,69.33
Aceh Barat Daya,2020,66.75
Gayo Lues,2020,67.22
Aceh Tamiang,2020,69.24
Nagan Raya,2020,69.18
Aceh Jaya,2020,69.75
Bener Meriah,2020,72.98
Pidie Jaya,2020,73.2
Kota Banda Aceh,2020,85.41
Kota Sabang,2020,75.78
Kota Langsa,2020,77.17
Kota Lhokseumawe,2020,77.31
Kota Subulussalam,2020,64.93
Nias,2020,61.93
Mandailing Natal,2020,66.79
Tapanuli Selatan,2020,70.12
Tapanuli Tengah,2020,69.23
Tapanuli Utara,2020,73.47
Toba Samosir / Toba,2020,75.16
Labuhan Batu,2020,72.01
Asahan,2020,70.29
Simalungun,2020,73.25
Dairi,2020,71.57
Karo,2020,74.43
Deli Serdang,2020,75.44
Langkat,2020,71
Nias Selatan,2020,61.89
Humbang Hasundutan,2020,68.87
Pakpak Bharat,2020,67.59
Samosir,2020,70.63
Serdang Bedagai,2020,70.24
Batu Bara,2020,68.36
Padang Lawas Utara,2020,69.85
Padang Lawas,2020,68.25
Labuhan Batu Selatan,2020,71.4
Labuhan Batu Utara,2020,71.61
Nias Utara,2020,62.36
Nias Barat,2020,61.51
Kota Sibolga,2020,73.63
Kota Tanjung Balai,2020,68.65
Kota Pematang Siantar,2020,78.75
Kota Tebing Tinggi,2020,75.17
Kota Medan,2020,80.98
Kota Binjai,2020,75.89
Kota Padangsidimpuan,2020,75.22
Kota Gunungsitoli,2020,69.31
Kepulauan Mentawai,2020,61.09
Pesisir Selatan,2020,69.9
Solok,2020,69.08
Sijunjung,2020,67.74
Tanah Datar,2020,72.33
Padang Pariaman,2020,70.61
Agam,2020,72.46
Lima Puluh Kota,2020,69.47
Pasaman,2020,66.64
Solok Selatan,2020,69.04
Dharmasraya,2020,71.51
Pasaman Barat,2020,68.49
Kota Padang,2020,82.82
Kota Solok,2020,78.29
Kota Sawah Lunto,2020,72.64
Kota Padang Panjang,2020,77.93
Kota Bukittinggi,2020,80.58
Kota Payakumbuh,2020,78.9
Kota Pariaman,2020,76.9
Kuantan Singingi,2020,70.31
Indragiri Hulu,2020,69.83
