kabupaten,tahun,Indeks Kemahalan Konstruksi Kabupaten/Kota
Simeulue,2020,109.99
Aceh Singkil,2020,99.72
Aceh Selatan,2020,98.07
Aceh Tenggara,2020,100.77
Aceh Timur,2020,95.43
Aceh Tengah,2020,104.99
Aceh Barat,2020,89.63
Aceh Besar,2020,95.17
Pidie,2020,92.96
Bireuen,2020,96.68
Aceh Utara,2020,98.8
Aceh Barat Daya,2020,90.96
Gayo Lues,2020,100.59
Aceh Tamiang,2020,91.89
Nagan Raya,2020,87.14
Aceh Jaya,2020,92.88
Bener Meriah,2020,91.68
Pidie Jaya,2020,92.08
Kota Banda Aceh,2020,100.26
Kota Sabang,2020,111.13
Kota Langsa,2020,93.37
Kota Lhokseumawe,2020,101.61
Kota Subulussalam,2020,85.82
Nias,2020,106.76
Mandailing Natal,2020,100.05
Tapanuli Selatan,2020,102.53
Tapanuli Tengah,2020,99.56
Tapanuli Utara,2020,101.84
Toba Samosir / Toba,2020,102.63
Labuhan Batu,2020,104.83
Asahan,2020,92.13
Simalungun,2020,97.93
Dairi,2020,101.99
Karo,2020,101.54
Deli Serdang,2020,96.45
Langkat,2020,97.66
Nias Selatan,2020,114.81
Humbang Hasundutan,2020,103.44
Pakpak Bharat,2020,101.95
Samosir,2020,100.35
Serdang Bedagai,2020,92.22
Batu Bara,2020,95.5
Padang Lawas Utara,2020,96.91
Padang Lawas,2020,97.36
Labuhan Batu Selatan,2020,102.65
Labuhan Batu Utara,2020,103.91
Nias Utara,2020,106.38
Nias Barat,2020,108.66
Kota Sibolga,2020,105.07
Kota Tanjung Balai,2020,96.33
Kota Pematang Siantar,2020,86.51
Kota Tebing Tinggi,2020,96.25
Kota Medan,2020,96.87
Kota Binjai,2020,89.67
Kota Padangsidimpuan,2020,97.03
Kota Gunungsitoli,2020,101.98
Kepulauan Mentawai,2020,117.09
Pesisir Selatan,2020,93
Solok,2020,97.19
Sijunjung,2020,90.78
Tanah Datar,2020,91.75
Padang Pariaman,2020,89.97
Agam,2020,87.65
Lima Puluh Kota,2020,93.08
Pasaman,2020,89.01
Solok Selatan,2020,94.18
Dharmasraya,2020,93.84
Pasaman Barat,2020,89.91
Kota Padang,2020,86.82
Kota Solok,2020,92.1
Kota Sawah Lunto,2020,91.36
Kota Padang Panjang,2020,94.53
Kota Bukittinggi,2020,94.65
Kota Payakumbuh,2020,91.4
Kota Pariaman,2020,91.32
Kuantan Singingi,2020,93.13
Indragiri Hulu,2020,96.38
Indragiri Hilir,2020,92.74
Pelalawan,2020,95.32
Siak,2020,94.33
Kampar,2020,89.43
Rokan Hulu,2020,92.55
