kabupaten,tahun,PDRB
Simeulue,2020,2274.36
Aceh Singkil,2020,2422.61
Aceh Selatan,2020,5530.75
Aceh Tenggara,2020,5058.53
Aceh Timur,2020,10605.78
Aceh Tengah,2020,7387.37
Aceh Barat,2020,8109.23
Aceh Besar,2020,13329.47
Pidie,2020,10758.81
Bireuen,2020,13084.37
Aceh Utara,2020,19702.65
Aceh Barat Daya,2020,3917.42
Gayo Lues,2020,2693.27
Aceh Tamiang,2020,7512.69
Nagan Raya,2020,7656.57
Aceh Jaya,2020,2625.73
Bener Meriah,2020,4527.82
Pidie Jaya,2020,3500.37
Kota Banda Aceh,2020,18501.63
Kota Sabang,2020,1531.41
Kota Langsa,2020,5274.02
Kota Lhokseumawe,2020,8867.27
Kota Subulussalam,2020,1803.68
Nias,2020,4040.92
Mandailing Natal,2020,13843
Tapanuli Selatan,2020,14642.16
Tapanuli Tengah,2020,10138.83
Tapanuli Utara,2020,8274.43
Toba Samosir / Toba,2020,7845.42
Labuhan Batu,2020,34653.18
Asahan,2020,38691.82
Simalungun,2020,39441.35
Dairi,2020,9317.91
Karo,2020,20974.57
Deli Serdang,2020,110145.24
Langkat,2020,43208
Nias Selatan,2020,7164.27
Humbang Hasundutan,2020,6123.46
Pakpak Bharat,2020,1211.35
Samosir,2020,4542.85
Serdang Bedagai,2020,28602.46
Batu Bara,2020,34987.64
Padang Lawas Utara,2020,12189.68
Padang Lawas,2020,11997.1
Labuhan Batu Selatan,2020,28198.97
Labuhan Batu Utara,2020,25191.24
Nias Utara,2020,3710.04
Nias Barat,2020,1922.54
Kota Sibolga,2020,5605.47
Kota Tanjung Balai,2020,9180.54
Kota Pematang Siantar,2020,13920.09
Kota Tebing Tinggi,2020,6049.16
Kota Medan,2020,242198.84
Kota Binjai,2020,11769.07
Kota Padangsidimpuan,2020,6478.66
Kota Gunungsitoli,2020,5776.11
Kepulauan Mentawai,2020,4647.1
Pesisir Selatan,2020,14095.98
Solok,2020,13581.97
Sijunjung,2020,9136.56
Tanah Datar,2020,13023.11
Padang Pariaman,2020,17934.81
Agam,2020,20376.57
Lima Puluh Kota,2020,15541.5
Pasaman,2020,8969.72
Solok Selatan,2020,5530.55
Dharmasraya,2020,10243.27
Pasaman Barat,2020,15253
Kota Padang,2020,62181.01
Kota Solok,2020,4041.64
Kota Sawah Lunto,2020,3656.59
Kota Padang Panjang,2020,3473.23
Kota Bukittinggi,2020,8627.53
Kota Payakumbuh,2020,6827.09
Kota Pariaman,2020,4994.09
Kuantan Singingi,2020,33683.57
Indragiri Hulu,2020,42449.7
Indragiri Hilir,2020,65043.51
Pelalawan,2020,50681.06
Siak,2020,77007.22
Kampar,2020,73001.8
Rokan Hulu,2020,36087
Bengkalis,2020,114583.99
Rokan Hilir,2020,67892.36
Kepulauan Meranti,2020,18066.19
Kota Pekanbaru,2020,115486.9
Kota Dumai,2020,36313.73
Kerinci,2020,10460.27
Merangin,2020,15664.88
Sarolangun,2020,14429.42
Batang Hari,2020,16392.8
Muaro Jambi,2020,24382.39
Tanjung Jabung Timur,2020,19563.27
Tanjung Jabung Barat,2020,37133.85
Tebo,2020,14737.98
Bungo,2020,17305.75
Kota Jambi,2020,29465.15
Kota Sungai Penuh,2020,7562.25
Ogan Komering Ulu,2020,14815.09
Ogan Komering Ilir,2020,33823.7
Muara Enim,2020,57493.55
Lahat,2020,17230.57
Musi Rawas,2020,19237.35
Musi Banyuasin,2020,65943.88
Banyu Asin,2020,29100.61
Ogan Komering Ulu Selatan,2020,8971.73
Ogan Komering Ulu Timur,2020,15282.54
Ogan Ilir,2020,11328.48
Empat Lawang,2020,5084.15
Penukal Abab Lematang Ilir,2020,7129.73
Musi Rawas Utara,2020,7194.15
Kota Palembang,2020,155203.91
Kota Prabumulih,2020,7867.32
Kota Pagar Alam,2020,2830.35
Kota Lubuklinggau,2020,6717.98
Bengkulu Selatan,2020,5819.78
Rejang Lebong,2020,9537.3
Bengkulu Utara,2020,8416.32
Kaur,2020,3612.34
Seluma,2020,4730.45
Mukomuko,2020,5266.95
Lebong,2020,3400.86
Kepahiang,2020,4409.81
Bengkulu Tengah,2020,4672.1
Kota Bengkulu,2020,23498.49
Lampung Barat,2020,7131.89
