Kabupaten,Tahun,Persentase Penduduk Miskin (P0)
Simeulue,2020,18.49
Aceh Singkil,2020,20.2
Aceh Selatan,2020,12.87
Aceh Tenggara,2020,13.21
Aceh Timur,2020,14.08
Aceh Tengah,2020,15.08
Aceh Barat,2020,18.34
Aceh Besar,2020,13.84
Pidie,2020,19.23
Bireuen,2020,13.06
Aceh Utara,2020,17.02
Aceh Barat Daya,2020,15.93
Gayo Lues,2020,19.32
Aceh Tamiang,2020,13.08
Nagan Raya,2020,17.7
Aceh Jaya,2020,12.87
Bener Meriah,2020,18.89
Pidie Jaya,2020,19.19
Kota Banda Aceh,2020,6.9
Kota Sabang,2020,14.94
Kota Langsa,2020,10.44
Kota Lhokseumawe,2020,10.8
Kota Subulussalam,2020,17.6
Nias,2020,16.6
Mandailing Natal,2020,9.18
Tapanuli Selatan,2020,8.47
Tapanuli Tengah,2020,12.38
Tapanuli Utara,2020,9.37
Toba Samosir / Toba,2020,8.71
Labuhan Batu,2020,8.44
Asahan,2020,9.04
Simalungun,2020,8.46
Dairi,2020,8.04
Karo,2020,8.7
Deli Serdang,2020,3.88
Langkat,2020,9.73
Nias Selatan,2020,16.74
Humbang Hasundutan,2020,9.36
Pakpak Bharat,2020,9.28
Samosir,2020,12.48
Serdang Bedagai,2020,7.97
Batu Bara,2020,11.88
Padang Lawas Utara,2020,9.7
Padang Lawas,2020,8.37
Labuhan Batu Selatan,2020,8.34
Labuhan Batu Utara,2020,9.53
Nias Utara,2020,25.07
Nias Barat,2020,25.69
Kota Sibolga,2020,11.95
Kota Tanjung Balai,2020,13.33
Kota Pematang Siantar,2020,8.27
Kota Tebing Tinggi,2020,9.85
Kota Medan,2020,8.01
Kota Binjai,2020,5.71
Kota Padangsidimpuan,2020,7.4
Kota Gunungsitoli,2020,16.41
Kepulauan Mentawai,2020,14.35
Pesisir Selatan,2020,7.61
Solok,2020,7.81
Sijunjung,2020,6.78
Tanah Datar,2020,4.4
Padang Pariaman,2020,6.95
Agam,2020,6.75
Lima Puluh Kota,2020,6.86
Pasaman,2020,7.16
Solok Selatan,2020,7.15
Dharmasraya,2020,6.23
Pasaman Barat,2020,7.04
Kota Padang,2020,4.4
Kota Solok,2020,2.77
Kota Sawah Lunto,2020,2.16
Kota Padang Panjang,2020,5.24
Kota Bukittinggi,2020,4.54
Kota Payakumbuh,2020,5.65
Kota Pariaman,2020,4.1
Kuantan Singingi,2020,8.91
Indragiri Hulu,2020,5.96
Indragiri Hilir,2020,5.93
Pelalawan,2020,9.16
Siak,2020,5.09
Kampar,2020,7.38
Rokan Hulu,2020,10.31
Bengkalis,2020,6.4
Rokan Hilir,2020,6.72
Kepulauan Meranti,2020,25.28
Kota Pekanbaru,2020,2.62
Kota Dumai,2020,3.16
Kerinci,2020,7.3
Merangin,2020,8.63
Sarolangun,2020,8.42
Batang Hari,2020,9.65
Muaro Jambi,2020,3.83
Tanjung Jabung Timur,2020,10.95
Tanjung Jabung Barat,2020,10.29
Tebo,2020,6.26
Bungo,2020,5.8
Kota Jambi,2020,8.27
Kota Sungai Penuh,2020,3.03
Ogan Komering Ulu,2020,12.75
Ogan Komering Ilir,2020,14.73
Muara Enim,2020,12.32
Lahat,2020,15.95
Musi Rawas,2020,13.5
Musi Banyuasin,2020,16.13
Banyu Asin,2020,11.17
Ogan Komering Ulu Selatan,2020,10.85
Ogan Komering Ulu Timur,2020,10.43
Ogan Ilir,2020,13.36
Empat Lawang,2020,12.63
Penukal Abab Lematang Ilir,2020,12.62
Musi Rawas Utara,2020,19.47
Kota Palembang,2020,10.89
Kota Prabumulih,2020,11.59
Kota Pagar Alam,2020,9.07
Kota Lubuklinggau,2020,12.71
Bengkulu Selatan,2020,17.82
Rejang Lebong,2020,15.85
Bengkulu Utara,2020,11.67
Kaur,2020,18.47
Seluma,2020,18.56
Mukomuko,2020,11.72
Lebong,2020,11.85
Kepahiang,2020,14.69
Bengkulu Tengah,2020,9.3
Kota Bengkulu,2020,17.65
Lampung Barat,2020,12.52
Tanggamus,2020,11.68
Lampung Selatan,2020,14.08
Lampung Timur,2020,14.62
Lampung Tengah,2020,11.82
Lampung Utara,2020,19.3
Way Kanan,2020,12.9
Tulangbawang,2020,9.33
Pesawaran,2020,14.76
Pringsewu,2020,9.97
Mesuji,2020,7.33
Tulang Bawang Barat,2020,7.39
Pesisir Barat,2020,14.29
Kota Bandar Lampung,2020,8.81
Kota Metro,2020,8.47
Bangka,2020,4.51
Belitung,2020,6.27
Bangka Barat,2020,2.7
Bangka Tengah,2020,4.85
Bangka Selatan,2020,3.52
Belitung Timur,2020,6.52
Kota Pangkal Pinang,2020,4.36
Karimun,2020,6.83
Bintan,2020,6.36
Natuna,2020,4.43
Lingga,2020,13.85
Kepulauan Anambas,2020,6.56
Kota Batam,2020,4.75
Kota Tanjung Pinang,2020,9.37
Kep. Seribu,2020,14.87
Kota Jakarta Selatan,2020,3.43
Kota Jakarta Timur,2020,4.16
Kota Jakarta Pusat,2020,4.51
Kota Jakarta Barat,2020,4.25
Kota Jakarta Utara,2020,6.78
Bogor,2020,7.69
