Kabupaten,Tahun,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten_kota
Simeulue,2020,11.44
Aceh Singkil,2020,7.19
Aceh Selatan,2020,8.57
Aceh Tenggara,2020,9.42
Aceh Timur,2020,7.03
Aceh Tengah,2020,6.47
Aceh Barat,2020,6.4
Aceh Besar,2020,9.63
Pidie,2020,7.8
Bireuen,2020,10.04
Aceh Utara,2020,11.25
Aceh Barat Daya,2020,8.63
Gayo Lues,2020,6.97
Aceh Tamiang,2020,12.29
Nagan Raya,2020,7.64
Aceh Jaya,2020,8.97
Bener Meriah,2020,6.98
Pidie Jaya,2020,5.1
Kota Banda Aceh,2020,5
Kota Sabang,2020,5.15
Kota Langsa,2020,7.35
Kota Lhokseumawe,2020,7.08
Kota Subulussalam,2020,7.7
Nias,2020,7.79
Mandailing Natal,2020,7.21
Tapanuli Selatan,2020,7.28
Tapanuli Tengah,2020,7.8
Tapanuli Utara,2020,6.79
Toba Samosir / Toba,2020,4.74
Labuhan Batu,2020,6.49
Asahan,2020,6.77
Simalungun,2020,8.06
Dairi,2020,6.42
Karo,2020,4.56
Deli Serdang,2020,6.73
Langkat,2020,9.61
Nias Selatan,2020,8.55
Humbang Hasundutan,2020,6.69
Pakpak Bharat,2020,5.3
Samosir,2020,5.85
Serdang Bedagai,2020,8.19
Batu Bara,2020,7.51
Padang Lawas Utara,2020,6.01
Padang Lawas,2020,5.38
Labuhan Batu Selatan,2020,4.8
Labuhan Batu Utara,2020,6.3
Nias Utara,2020,7.85
Nias Barat,2020,9.07
Kota Sibolga,2020,4.47
Kota Tanjung Balai,2020,5.82
Kota Pematang Siantar,2020,6.25
Kota Tebing Tinggi,2020,7.42
Kota Medan,2020,4.31
Kota Binjai,2020,8.08
Kota Padangsidimpuan,2020,5.08
Kota Gunungsitoli,2020,6.73
Kepulauan Mentawai,2020,7.08
Pesisir Selatan,2020,5.2
Solok,2020,6.71
Sijunjung,2020,5.68
Tanah Datar,2020,7.02
Padang Pariaman,2020,5.55
Agam,2020,6.5
Lima Puluh Kota,2020,6.12
Pasaman,2020,8.04
Solok Selatan,2020,6.3
Dharmasraya,2020,5.67
Pasaman Barat,2020,5.9
Kota Padang,2020,4.64
Kota Solok,2020,5.02
Kota Sawah Lunto,2020,6.41
Kota Padang Panjang,2020,6.05
Kota Bukittinggi,2020,4.27
Kota Payakumbuh,2020,5.37
Kota Pariaman,2020,3.75
Kuantan Singingi,2020,10.87
Indragiri Hulu,2020,9.11
Indragiri Hilir,2020,13.91
Pelalawan,2020,7.14
Siak,2020,7.02
Kampar,2020,9.34
Rokan Hulu,2020,9.64
Bengkalis,2020,9.45
Rokan Hilir,2020,8.24
Kepulauan Meranti,2020,10.41
Kota Pekanbaru,2020,7.51
Kota Dumai,2020,8.35
Kerinci,2020,10.33
Merangin,2020,10.06
Sarolangun,2020,10.26
