Kabupaten,Tahun,Proporsi Perempuan Pernah Kawin 15-49 tahun yang Melahirkan Anak Lahir Hidup Yang Pertama Kali Berumur Kurang dari 20 tahun Menurut Kabupaten/Kota
Simeulue,2020,0.291
Aceh Singkil,2020,0.283
Aceh Selatan,2020,0.287
Aceh Tenggara,2020,0.264
Aceh Timur,2020,0.268
Aceh Tengah,2020,0.259
Aceh Barat,2020,0.204
Aceh Besar,2020,0.149
Pidie,2020,0.163
Bireuen,2020,0.199
Aceh Utara,2020,0.258
Aceh Barat Daya,2020,0.255
Gayo Lues,2020,0.307
Aceh Tamiang,2020,0.165
Nagan Raya,2020,0.309
Aceh Jaya,2020,0.28
Bener Meriah,2020,0.234
Pidie Jaya,2020,0.151
Kota Banda Aceh,2020,0.065
Kota Sabang,2020,0.087
Kota Langsa,2020,0.145
Kota Lhokseumawe,2020,0.16
Kota Subulussalam,2020,0.341
Nias,2020,0.278
Mandailing Natal,2020,0.239
Tapanuli Selatan,2020,0.155
Tapanuli Tengah,2020,0.185
Tapanuli Utara,2020,0.124
Toba Samosir / Toba,2020,0.093
Labuhan Batu,2020,0.2
Asahan,2020,0.185
Simalungun,2020,0.142
Dairi,2020,0.092
Karo,2020,0.178
Deli Serdang,2020,0.101
Langkat,2020,0.221
Nias Selatan,2020,0.327
Humbang Hasundutan,2020,0.078
Pakpak Bharat,2020,0.092
Samosir,2020,0.068
Serdang Bedagai,2020,0.184
Batu Bara,2020,0.179
Padang Lawas Utara,2020,0.267
Padang Lawas,2020,0.313
Labuhan Batu Selatan,2020,0.183
Labuhan Batu Utara,2020,0.2
Nias Utara,2020,0.241
Nias Barat,2020,0.293
Kota Sibolga,2020,0.114
Kota Tanjung Balai,2020,0.166
Kota Pematang Siantar,2020,0.106
Kota Tebing Tinggi,2020,0.149
Kota Medan,2020,0.079
Kota Binjai,2020,0.109
Kota Padangsidimpuan,2020,0.139
Kota Gunungsitoli,2020,0.141
Kepulauan Mentawai,2020,0.377
Pesisir Selatan,2020,0.234
Solok,2020,0.209
Sijunjung,2020,0.265
Tanah Datar,2020,0.146
Padang Pariaman,2020,0.09
Agam,2020,0.081
Lima Puluh Kota,2020,0.202
Pasaman,2020,0.214
Solok Selatan,2020,0.268
Dharmasraya,2020,0.342
Pasaman Barat,2020,0.208
Kota Padang,2020,0.089
Kota Solok,2020,0.103
Kota Sawah Lunto,2020,0.153
Kota Padang Panjang,2020,0.049
Kota Bukittinggi,2020,0.052
Kota Payakumbuh,2020,0.157
Kota Pariaman,2020,0.043
Kuantan Singingi,2020,0.287
Indragiri Hulu,2020,0.32
Indragiri Hilir,2020,0.378
Pelalawan,2020,0.269
Siak,2020,0.156
Kampar,2020,0.237
Rokan Hulu,2020,0.298
Bengkalis,2020,0.15
Rokan Hilir,2020,0.293
Kepulauan Meranti,2020,0.177
Kota Pekanbaru,2020,0.069
Kota Dumai,2020,0.175
Kerinci,2020,0.398
Merangin,2020,0.456
Sarolangun,2020,0.394
Batang Hari,2020,0.293
Muaro Jambi,2020,0.295
Tanjung Jabung Timur,2020,0.358
Tanjung Jabung Barat,2020,0.321
Tebo,2020,0.378
Bungo,2020,0.43
Kota Jambi,2020,0.134
Kota Sungai Penuh,2020,0.218
Ogan Komering Ulu,2020,0.335
Ogan Komering Ilir,2020,0.364
Muara Enim,2020,0.341
Lahat,2020,0.296
Musi Rawas,2020,0.309
Musi Banyuasin,2020,0.368
Banyu Asin,2020,0.324
Ogan Komering Ulu Selatan,2020,0.373
Ogan Komering Ulu Timur,2020,0.355
Ogan Ilir,2020,0.326
Empat Lawang,2020,0.346
Penukal Abab Lematang Ilir,2020,0.406
Musi Rawas Utara,2020,0.415
Kota Palembang,2020,0.127
Kota Prabumulih,2020,0.189
Kota Pagar Alam,2020,0.245
Kota Lubuklinggau,2020,0.285
Bengkulu Selatan,2020,0.311
Rejang Lebong,2020,0.346
Bengkulu Utara,2020,0.285
Kaur,2020,0.38
Seluma,2020,0.351
Mukomuko,2020,0.389
Lebong,2020,0.336
Kepahiang,2020,0.371
Bengkulu Tengah,2020,0.437
Kota Bengkulu,2020,0.174
Lampung Barat,2020,0.316
Tanggamus,2020,0.283
Lampung Selatan,2020,0.289
Lampung Timur,2020,0.252
Lampung Tengah,2020,0.263
Lampung Utara,2020,0.293
Way Kanan,2020,0.347
Tulangbawang,2020,0.339
Pesawaran,2020,0.279
Pringsewu,2020,0.165
Mesuji,2020,0.355
Tulang Bawang Barat,2020,0.309
Pesisir Barat,2020,0.286
Kota Bandar Lampung,2020,0.179
Kota Metro,2020,0.139
Bangka,2020,0.296
Belitung,2020,0.293
Bangka Barat,2020,0.342
Bangka Tengah,2020,0.381
Bangka Selatan,2020,0.478
Belitung Timur,2020,0.292
Kota Pangkal Pinang,2020,0.182
Karimun,2020,0.216
Bintan,2020,0.151
Natuna,2020,0.323
Lingga,2020,0.243
Kepulauan Anambas,2020,0.272
Kota Batam,2020,0.091
Kota Tanjung Pinang,2020,0.14
Kep. Seribu,2020,0.301
Kota Jakarta Selatan,2020,0.123
Kota Jakarta Timur,2020,0.131
Kota Jakarta Pusat,2020,0.152
Kota Jakarta Barat,2020,0.14
Kota Jakarta Utara,2020,0.181
Bogor,2020,0.324
Sukabumi,2020,0.427
Cianjur,2020,0.437
Bandung,2020,0.323
Garut,2020,0.434
Tasikmalaya,2020,0.376
Ciamis,2020,0.261
Kuningan,2020,0.226
Cirebon,2020,0.232
Majalengka,2020,0.342
Sumedang,2020,0.332
Indramayu,2020,0.307
Subang,2020,0.374
Purwakarta,2020,0.31
Karawang,2020,0.319
Bekasi,2020,0.234
Bandung Barat,2020,0.378
Pangandaran,2020,0.322
Kota Bogor,2020,0.179
Kota Sukabumi,2020,0.201
Kota Bandung,2020,0.186
Kota Cirebon,2020,0.166
Kota Bekasi,2020,0.187
Kota Depok,2020,0.134
Kota Cimahi,2020,0.133
Kota Tasikmalaya,2020,0.23
Kota Banjar,2020,0.287
Cilacap,2020,0.27
Banyumas,2020,0.217
Purbalingga,2020,0.338
Banjarnegara,2020,0.435
Kebumen,2020,0.191
Purworejo,2020,0.204
Wonosobo,2020,0.423
Magelang,2020,0.28
Boyolali,2020,0.233
Klaten,2020,0.155
Sukoharjo,2020,0.1
Wonogiri,2020,0.248
Karanganyar,2020,0.177
Sragen,2020,0.253
Grobogan,2020,0.397
Blora,2020,0.355
Rembang,2020,0.319
Pati,2020,0.275
Kudus,2020,0.169
Jepara,2020,0.278
Demak,2020,0.282
Semarang,2020,0.261
Temanggung,2020,0.368
Kendal,2020,0.238
Batang,2020,0.374
Pekalongan,2020,0.286
Pemalang,2020,0.347
Tegal,2020,0.167
Brebes,2020,0.353
Kota Magelang,2020,0.124
Kota Surakarta,2020,0.147
Kota Salatiga,2020,0.13
Kota Semarang,2020,0.115
Kota Pekalongan,2020,0.146
Kota Tegal,2020,0.136
Kulon Progo,2020,0.087
Bantul,2020,0.124
Gunung Kidul,2020,0.277
Sleman,2020,0.112
Kota Yogyakarta,2020,0.108
Pacitan,2020,0.318
Ponorogo,2020,0.158
Trenggalek,2020,0.274
Tulungagung,2020,0.173
Blitar,2020,0.214
Kediri,2020,0.223
Malang,2020,0.305
Lumajang,2020,0.392
Jember,2020,0.424
Banyuwangi,2020,0.257
Bondowoso,2020,0.487
Situbondo,2020,0.379
Probolinggo,2020,0.504
Pasuruan,2020,0.297
Sidoarjo,2020,0.143
Mojokerto,2020,0.237
Jombang,2020,0.207
Nganjuk,2020,0.196
Madiun,2020,0.146
Magetan,2020,0.179
Ngawi,2020,0.172
Bojonegoro,2020,0.291
Tuban,2020,0.266
Lamongan,2020,0.233
Gresik,2020,0.162
Bangkalan,2020,0.313
Sampang,2020,0.333
Pamekasan,2020,0.335
Sumenep,2020,0.384
Kota Kediri,2020,0.127
Kota Blitar,2020,0.151
Kota Malang,2020,0.119
Kota Probolinggo,2020,0.241
Kota Pasuruan,2020,0.206
Kota Mojokerto,2020,0.109
Kota Madiun,2020,0.062
Kota Surabaya,2020,0.161
Kota Batu,2020,0.24
Pandeglang,2020,0.402
Lebak,2020,0.426
Tangerang,2020,0.245
Serang,2020,0.311
Kota Tangerang,2020,0.154
Kota Cilegon,2020,0.191
Kota Serang,2020,0.277
Kota Tangerang Selatan,2020,0.172
Jembrana,2020,0.272
Tabanan,2020,0.246
Badung,2020,0.09
Gianyar,2020,0.161
Klungkung,2020,0.214
Bangli,2020,0.309
Karangasem,2020,0.315
Buleleng,2020,0.348
Kota Denpasar,2020,0.124
Lombok Barat,2020,0.356
Lombok Tengah,2020,0.379
Lombok Timur,2020,0.303
Sumbawa,2020,0.212
Dompu,2020,0.234
Bima,2020,0.254
Sumbawa Barat,2020,0.203
Lombok Utara,2020,0.379
Kota Mataram,2020,0.273
Kota Bima,2020,0.152
Sumba Barat,2020,0.21
Sumba Timur,2020,0.27
Kupang,2020,0.163
Timor Tengah Selatan,2020,0.243
Timor Tengah Utara,2020,0.28
Belu,2020,0.242
Alor,2020,0.207
Lembata,2020,0.166
Flores Timur,2020,0.167
Sikka,2020,0.165
Ende,2020,0.141
Ngada,2020,0.112
Manggarai,2020,0.201
Rote Ndao,2020,0.265
Manggarai Barat,2020,0.249
Sumba Tengah,2020,0.168
Sumba Barat Daya,2020,0.205
Nagekeo,2020,0.103
Manggarai Timur,2020,0.231
Sabu Raijua,2020,0.263
Malaka,2020,0.308
Kota Kupang,2020,0.202
Sambas,2020,0.224
Bengkayang,2020,0.258
Landak,2020,0.471
Mempawah,2020,0.335
Sanggau,2020,0.408
Ketapang,2020,0.399
Sintang,2020,0.388
Kapuas Hulu,2020,0.399
Sekadau,2020,0.372
Melawi,2020,0.397
Kayong Utara,2020,0.368
Kubu Raya,2020,0.286
Kota Pontianak,2020,0.134
Kota Singkawang,2020,0.217
Kotawaringin Barat,2020,0.336
Kotawaringin Timur,2020,0.391
Kapuas,2020,0.357
Barito Selatan,2020,0.444
Barito Utara,2020,0.372
Sukamara,2020,0.425
Lamandau,2020,0.32
Seruyan,2020,0.358
Katingan,2020,0.386
Pulang Pisau,2020,0.394
Gunung Mas,2020,0.461
Barito Timur,2020,0.31
Murung Raya,2020,0.528
Kota Palangka Raya,2020,0.282
Tanah Laut,2020,0.38
Kotabaru,2020,0.403
Banjar,2020,0.293
Barito Kuala,2020,0.308
Tapin,2020,0.422
Hulu Sungai Selatan,2020,0.33
Hulu Sungai Tengah,2020,0.285
Hulu Sungai Utara,2020,0.299
Tabalong,2020,0.305
Tanah Bumbu,2020,0.353
Balangan,2020,0.354
Kota Banjarmasin,2020,0.274
Kota Banjar Baru,2020,0.204
Paser,2020,0.292
Kutai Barat,2020,0.433
Kutai Kartanegara,2020,0.326
Kutai Timur,2020,0.364
Berau,2020,0.34
Penajam Paser Utara,2020,0.337
Mahakam Ulu,2020,0.355
Kota Balikpapan,2020,0.164
Kota Samarinda,2020,0.161
Kota Bontang,2020,0.2
Malinau,2020,0.39
Bulungan,2020,0.336
Tana Tidung,2020,0.277
Nunukan,2020,0.343
Kota Tarakan,2020,0.191
Bolaang Mongondow,2020,0.454
Minahasa,2020,0.278
Kepulauan Sangihe,2020,0.295
Kepulauan Talaud,2020,0.263
Minahasa Selatan,2020,0.308
Minahasa Utara,2020,0.263
Bolaang Mongondow Utara,2020,0.377
Siau Tagulandang Biaro,2020,0.249
Minahasa Tenggara,2020,0.376
Bolaang Mongondow Selatan,2020,0.394
Bolaang Mongondow Timur,2020,0.403
Kota Manado,2020,0.255
Kota Bitung,2020,0.262
Kota Tomohon,2020,0.214
Kota Kotamobagu,2020,0.348
Banggai Kepulauan,2020,0.374
Banggai,2020,0.332
Morowali,2020,0.337
Poso,2020,0.356
Donggala,2020,0.45
Toli-Toli,2020,0.343
Buol,2020,0.396
Parigi Moutong,2020,0.386
Tojo Una-Una,2020,0.439
Sigi,2020,0.32
Banggai Laut,2020,0.328
Morowali Utara,2020,0.3
Kota Palu,2020,0.261
Kepulauan Selayar,2020,0.251
Bulukumba,2020,0.23
Bantaeng,2020,0.269
Jeneponto,2020,0.33
Takalar,2020,0.301
Gowa,2020,0.31
Sinjai,2020,0.309
Maros,2020,0.306
Pangkajene dan Kepulauan,2020,0.308
Barru,2020,0.298
Bone,2020,0.357
Soppeng,2020,0.325
Wajo,2020,0.266
Sidenreng Rappang,2020,0.342
Pinrang,2020,0.324
Enrekang,2020,0.27
Luwu,2020,0.325
Tana Toraja,2020,0.323
Luwu Utara,2020,0.399
Luwu Timur,2020,0.322
Toraja Utara,2020,0.371
Kota Makasar,2020,0.192
Kota Parepare,2020,0.277
Kota Palopo,2020,0.242
Buton,2020,0.305
Muna,2020,0.314
Konawe,2020,0.419
Kolaka,2020,0.317
Konawe Selatan,2020,0.394
Bombana,2020,0.373
Wakatobi,2020,0.335
Kolaka Utara,2020,0.412
Buton Utara,2020,0.356
Konawe Utara,2020,0.465
Kolaka Timur,2020,0.389
